"odim_code","country","odim_code_3char","vp_radar","location","latitude","longitude","site_altitude_asl","min_height_cut_asl","max_height_cut_asl"
"frcol","fr","col","FR59","Collobrières","43.21667","6.37278","640","740","4000"
"frgre","fr","gre","FR44","Grezes","45.10444","1.36944","350","450","4000"
"frlep","fr","lep","FR53","Sembadel","45.29","3.70944","1120","1220","4000"
"frmcl","fr","mcl","FR62","Montclar","43.99056","2.60972","670","770","4000"
"frmom","fr","mom","FR66","Momuy","43.62472","-0.60917","130","230","4000"
"frmtc","fr","mtc","FR67","Montancy","47.36861","7.01917","910","1010","4000"
"frnan","fr","nan","FR47","Nancy","48.71583","6.58167","290","390","4000"
"frnim","fr","nim","FR49","Nîmes","43.80611","4.50278","70","170","4000"
"frniz","fr","niz","FR58","Saint Nizier","46.06778","4.44528","910","1010","4000"
"fropo","fr","opo","FR57","Opoul","42.91833","2.865","700","800","4000"
"frpla","fr","pla","FR56","Plabennec","48.46083","-4.43","100","200","4000"
"frtou","fr","tou","FR50","Toulouse","43.57444","1.37611","160","260","4000"
"frtra","fr","tra","FR51","Trappes","48.77389","2.0075","170","270","4000"
"frtre","fr","tre","FR54","Treilleres","47.3375","-1.65639","70","170","4000"
"frtro","fr","tro","FR52","Arcis-sur-aube","48.46222","4.30944","160","260","4000"
"nldbl","nl","dbl","NL50","De bilt","52.1016807556152","5.17833995819092","44.0999984741211","144.099998474121","4000"
"nldhl","nl","dhl","NL51","Den helder","52.9533386230469","4.78996992111206","51.5","151.5","4000"
"plbrz","pl","brz","plbrz","Brzuchania","50.39417","20.07972","453","553","4000"
"plgda","pl","gda","plgda","Gdansk","54.38425","18.45631","158","258","4000"
"plleg","pl","leg","plleg","Legionowo","52.405219","20.960911","119","219","4000"
"plpoz","pl","poz","plpoz","Poznan","52.41326","16.79706","130","230","4000"
"plram","pl","ram","plram","Ramza","50.15167","18.72667","358","458","4000"
"plrze","pl","rze","plrze","Rzeszów","50.11409","22.03704","235","335","4000"
"plswi","pl","swi","plswi","Swidwin","53.79028","15.83111","146","246","4000"
"ptfar","pt","far","PO42","Loule/Cavalos do Caldeirao","37.3053399659693","-7.9517398774624","616","716","4000"
"ptliz","pt","liz","PO42","Coruche/Cruz do Leao","39.0713700838387","-8.39887987822296","193","293","4000"
"ptprt","pt","prt","PO42","Arouca/Pico do Gralheiro","40.8450300805271","-8.27969994395973","1097","1197","4000"
"seang","se","ang","SE50","Ängelholm","56.3675003052","12.8516998291","209","309","4000"
"searl","se","arl","SE46","Arlanda","59.6543998718","17.9463005066","74","174","4000"
"sease","se","ase","SE47","Ase","57.3035011292","18.400100708","85","185","4000"
"sehud","se","hud","SE44","Hudriksvall","61.5770988464","16.7143993378","389","489","4000"
"sekir","se","kir","SE40","Kiruna","67.7088012695","20.6177997589","647","747","4000"
"sekkr","se","kkr","SE51","Karlskrona","56.295501709","15.6103000641","123","223","4000"
"selek","se","lek","SE45","Leksand","60.7229995728","14.8775997162","457","557","4000"
"selul","se","lul","SE41","Luleå","65.4309005737","21.8649997711","68","168","4000"
"seosu","se","osu","SE42","Östersund","63.2949981689","14.7590999603","466","566","4000"
"seovi","se","ovi","SE43","Örnsköldsvik","63.6394996643","18.4018993378","522","622","4000"
"sevar","se","var","SE49","Vara","58.2555999756","12.8260002136","164","264","4000"
"sevil","se","vil","SE48","Vilebo","58.1058998108","15.9363002777","223","323","4000"
"silis","si","lis","SI41","Lisca","46.0677699744701","15.2848999947309","950","1050","4000"
"sipas","si","pas","SI42","Pasja ravan","46.097980029881","14.2282400652766","1043","1143","4000"
