"radar_id","datetime","HGHT","u","v","dens","dd","ff","mtr","day_night","date_of_sunset","exclusion_reason"
"seang",2016-10-03 20:30:00,400,-6.7977557182312,-7.84822034835815,27.2997207641602,220.897552490234,10.3828725814819,56.6899044408623,"night","20161003",
"seang",2016-10-03 20:30:00,600,-5.81775808334351,-8.97929763793945,17.1304683685303,212.939514160156,10.6992568969727,36.6566563680739,"night","20161003",
"seang",2016-10-03 20:30:00,800,-5.46895790100098,-8.2620267868042,11.4793796539307,213.50212097168,9.90810680389404,22.7477839307187,"night","20161003",
"seang",2016-10-03 20:30:00,1000,-5.54356288909912,-10.8482255935669,7.7168140411377,207.067535400391,12.1825733184814,18.8021305682494,"night","20161003",
"seang",2016-10-03 20:30:00,1200,,,,,,,"night","20161003",
"seang",2016-10-03 20:30:00,1400,,,,,,,"night","20161003",
"seang",2016-10-03 20:30:00,1600,,,,,,,"night","20161003",
"seang",2016-10-03 20:30:00,1800,,,,,,,"night","20161003",
"seang",2016-10-03 20:30:00,2000,,,,,,,"night","20161003",
"seang",2016-10-03 20:30:00,2200,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,2400,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,2600,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,2800,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,3000,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,3200,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,3400,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,3600,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,3800,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,4000,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,4200,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,4400,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,4600,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:30:00,4800,,,,,,,"night","20161003","height"
"seang",2016-10-03 20:45:00,0,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,200,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,400,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,600,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,800,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,1000,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,1200,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,1400,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,1600,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,1800,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,2000,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,2200,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,2400,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,2600,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,2800,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,3000,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,3200,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,3400,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,3600,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,3800,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,4000,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,4200,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,4400,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,4600,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 20:45:00,4800,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,0,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,200,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,400,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,600,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,800,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,1000,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,1200,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,1400,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,1600,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,1800,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,2000,,,,,,,"night","20161003","datetime"
"seang",2016-10-03 21:00:00,2200,,,,,,,"night","20161003","datetime"
